name,TotalRunTime,average_net_length,clb_blocks,critical_path,io_blocks,memory_blocks,mult_blocks,packing_time,placement_time,routing_time,total_logic_block_area,total_routing_area,total_routing_time,total_wire_length
00_counter_MIN_ROUTE_CHAN_WIDTH,58,6.75000,1,1.62724e-09,10,0,0,0.06,0.00,0.08,53894,5542.74,0.08,54
00_mac_4_MIN_ROUTE_CHAN_WIDTH,65,2.37500,1,1.69671e-09,16,0,0,0.01,0.00,0.03,53894,7489.75,0.03,38
